Index,smiles,expt.(A^3)
321,c1ccsc1,9.72
322,Cc1ccccc1,12.40
323,CCCCOP(=O)(OCCCC)OCCCC,27.55
324,CCCC[NH+](CCCC)CCCC,24.43
325,CCCOP(=O)(OCCC)OCCC,22.24
326,C(#N)C(Cl)(Cl)Cl,10.48
327,C(=C(Cl)Cl)Cl,10.08
328,C(CO)[NH+](CCO)CCO,15.10
329,CC[NH+](CC)CC,13.48
330,CC(OC)(OC)OC,11.91
331,COC(OC)OC,10.09
332,COP(=O)(OC)OC,11.07
333,CC(C)(C)C#N,10.00
334,C1CSC1,8.64
335,CC(=O)OC=C,8.87
336,Cc1ccccc1O,13.00
337,C[C@@H]1CO1,6.25
338,c1ccc(cc1)C(F)(F)F,12.25
339,c1ccc(c(c1)Br)Br,16.43
340,C[C@H](CO)O,7.55
341,c1cc(cc(c1)F)F,10.33
342,C1/C=C\CC/C=C\C1,14.16
343,C[C@H](CN)O,8.36
344,CCCBr,9.42
345,CCCCCl,10.12
346,CCCCl,8.32
347,CCCCI,13.33
348,Cn1cccc1,10.24
349,CCCCCCCC#C,16.62
350,CC(C)(Cl)Cl,10.32
351,CC(C)C(C(C)C)O,14.21
352,Cc1ccc(c(c1)C)O,14.80
353,C[C@@H]1CC[C@H](O1)C,11.40
354,c1ccnc(c1)C#N,11.70
355,c1ccnc(c1)F,10.61
356,COC1OCCO1,9.36
357,C[C@@H]1CCCO1,9.95
358,CC(C)O,6.98
359,Cc1cccc(c1)O,13.00
360,C[C@@H]1CCS(=O)(=O)C1,12.65
361,CCC(CC)O,10.62
362,c1ccc(cc1)CCCO,16.44
363,CCCC(=O)CCC,13.67
364,CC(C)CC(=O)C,11.98
365,Cc1ccncc1,11.52
366,CCN(CC)C(=O)C,13.28
367,CCN(CC)C=N,11.71
368,CC(C)N(C=N)C(C)C,15.31
369,CN(C)C=N,7.94
370,CCC(=O)N(C)C,11.46
371,CC(C)(C)NCc1ccccc1,21.11
372,CNCc1ccccc1,15.52
373,c1ccc(cc1)C(=O)Br,15.70
374,c1ccc(cc1)CN,13.60
375,C(CCl)OCCCl,12.63
376,CCBr,7.60
377,c1ccc(cc1)Cl,12.40
378,C1CCC(CC1)Cl,13.03
379,C(Cl)(Cl)Cl,8.53
380,C1CCC2CCCCC2C1,17.40
381,C1CCC(=O)C1,9.25
382,C(CCl)OCCCl,12.60
383,CCCCSCCCC,18.74
384,CCCOCCC,12.67
385,C=CCNCC=C,12.84
386,c1ccc(cc1)COCc2ccccc2,24.50
387,C(Cl)Cl,6.52
388,CCOCC,8.98
389,CCOCCOCCOCC,17.67
390,CC(C)SC(C)C,15.19
391,CCCCCCCCCCCC#N,22.68
392,CCOc1ccccc1,15.02
393,CCOC(=O)c1ccccc1O,17.80
394,c1ccc(cc1)F,10.33
395,C(F)(Cl)(Cl)Cl,8.61
396,CC(=O)OCC(COC(=O)C)OC(=O)C,19.31
397,C(=C(Cl)Cl)(C(Cl)(Cl)Cl)Cl,17.84
398,c1ccc(cc1)I,15.58
399,CC(C)ON(=O)=O,9.61
400,CO,3.26
401,CCCCCCCCCC(=O)OC,21.73
402,CCCCCCCCCCCC(=O)OC,25.40
403,COc1ccccc1,13.11
404,CSc1ccccc1,15.63
405,CC1CCCCC1,12.96
406,CCCCCCC(=O)O,14.30
407,CCCCCC,11.94
408,CCCCCC(=O)O,12.50
409,CCCCCCCCC,17.45
410,CCCCCCCCCCCCCCC,28.55
411,Cc1ccc(cc1)C,14.35
412,C1CCSCC1,12.30
413,C1CCN(CC1)C=N,12.83
414,C(=C(Cl)Cl)(Cl)Cl,12.07
415,C(CSCCO)O,12.50
416,C(=C/Cl)\Cl,8.22
417,CCOP(=O)(OCC)OCC,16.57
418,C(COCCOCCO)O,14.36
419,COCCOCCOCCOC,18.34
420,C(=O)(C(F)(F)F)O,5.40
421,CCCCCCCCCCC#N,20.94
